Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
913367,842,8/31/2015 20:08,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 20:22,Spear at Folsom,49,652,Customer,94105
913364,444,8/31/2015 20:06,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:14,Powell Street BART,39,134,Subscriber,94105
913363,489,8/31/2015 20:06,Howard at 2nd,63,8/31/2015 20:14,San Francisco Caltrain 2 (330 Townsend),69,465,Subscriber,94070
913361,236,8/31/2015 20:05,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:09,Townsend at 7th,65,270,Subscriber,94107
913356,217,8/31/2015 20:03,Market at Sansome,77,8/31/2015 20:07,Clay at Battery,41,505,Subscriber,94301
913353,577,8/31/2015 20:01,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 20:11,2nd at Townsend,61,66,Customer,43214
913351,290,8/31/2015 20:01,Howard at 2nd,63,8/31/2015 20:06,Market at 4th,76,401,Subscriber,94107
913349,559,8/31/2015 20:00,Harry Bridges Plaza (Ferry Building),50,8/31/2015 20:09,2nd at Townsend,61,587,Subscriber,94107
913348,609,8/31/2015 19:59,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 20:09,Market at 10th,67,877,Subscriber,94102
913346,466,8/31/2015 19:58,Market at 4th,76,8/31/2015 20:06,San Francisco Caltrain 2 (330 Townsend),69,450,Subscriber,94107
913345,482,8/31/2015 19:58,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:06,Powell Street BART,39,425,Subscriber,94107
913344,326,8/31/2015 19:55,Spear at Folsom,49,8/31/2015 20:01,Davis at Jackson,42,672,Subscriber,94111
913343,426,8/31/2015 19:51,5th at Howard,57,8/31/2015 19:58,Townsend at 7th,65,457,Subscriber,94107
913342,471,8/31/2015 19:49,South Van Ness at Market,66,8/31/2015 19:57,Market at 4th,76,450,Subscriber,94108
913341,368,8/31/2015 19:49,Post at Kearny,47,8/31/2015 19:55,5th at Howard,57,214,Subscriber,94107
913340,616,8/31/2015 19:48,2nd at Townsend,61,8/31/2015 19:58,Steuart at Market,74,354,Subscriber,94609
913338,403,8/31/2015 19:47,2nd at Townsend,61,8/31/2015 19:54,Market at Sansome,77,364,Subscriber,94708
913337,384,8/31/2015 19:47,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:54,2nd at South Park,64,277,Subscriber,94107
913335,472,8/31/2015 19:47,Market at 4th,76,8/31/2015 19:55,San Francisco Caltrain 2 (330 Townsend),69,287,Subscriber,94107
913329,509,8/31/2015 19:42,Mechanics Plaza (Market at Battery),75,8/31/2015 19:51,Civic Center BART (7th at Market),72,317,Subscriber,94103
913326,905,8/31/2015 19:42,Mountain View Caltrain Station,28,8/31/2015 19:57,Rengstorff Avenue / California Street,33,92,Subscriber,94040
913324,375,8/31/2015 19:41,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:47,2nd at South Park,64,558,Subscriber,94105
913322,782,8/31/2015 19:41,Golden Gate at Polk,59,8/31/2015 19:54,Spear at Folsom,49,498,Subscriber,94105
913321,191,8/31/2015 19:40,Steuart at Market,74,8/31/2015 19:43,Mechanics Plaza (Market at Battery),75,462,Subscriber,94107
913320,792,8/31/2015 19:39,Market at 4th,76,8/31/2015 19:53,2nd at Townsend,61,437,Subscriber,94107
913318,471,8/31/2015 19:37,Embarcadero at Folsom,51,8/31/2015 19:45,Grant Avenue at Columbus Avenue,73,482,Subscriber,94133
913317,441,8/31/2015 19:34,Steuart at Market,74,8/31/2015 19:41,Embarcadero at Sansome,60,355,Subscriber,94133
913316,300,8/31/2015 19:34,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:39,Townsend at 7th,65,368,Subscriber,94107
913315,518,8/31/2015 19:33,Steuart at Market,74,8/31/2015 19:42,2nd at Townsend,61,463,Subscriber,94107
913314,340,8/31/2015 19:33,2nd at South Park,64,8/31/2015 19:39,Steuart at Market,74,560,Subscriber,94607
913313,387,8/31/2015 19:33,Market at Sansome,77,8/31/2015 19:39,Powell Street BART,39,423,Subscriber,94105
913311,144,8/31/2015 19:31,Howard at 2nd,63,8/31/2015 19:33,Market at Sansome,77,282,Subscriber,94105
913309,344,8/31/2015 19:30,2nd at Townsend,61,8/31/2015 19:36,Howard at 2nd,63,501,Subscriber,94965
913308,185,8/31/2015 19:30,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:33,2nd at Townsend,61,541,Subscriber,94158
913307,811,8/31/2015 19:30,Steuart at Market,74,8/31/2015 19:43,San Francisco Caltrain (Townsend at 4th),70,548,Subscriber,94107
913306,625,8/31/2015 19:29,2nd at South Park,64,8/31/2015 19:39,San Francisco City Hall,58,492,Subscriber,94115
913305,306,8/31/2015 19:27,Davis at Jackson,42,8/31/2015 19:32,Temporary Transbay Terminal (Howard at Beale),55,687,Subscriber,94608
913304,206,8/31/2015 19:27,Embarcadero at Vallejo,48,8/31/2015 19:30,Steuart at Market,74,355,Subscriber,94610
913303,296,8/31/2015 19:27,2nd at South Park,64,8/31/2015 19:32,Spear at Folsom,49,672,Subscriber,94105
913301,1049,8/31/2015 19:25,Market at Sansome,77,8/31/2015 19:43,South Van Ness at Market,66,608,Customer,90038
913299,1074,8/31/2015 19:23,Market at 10th,67,8/31/2015 19:41,Embarcadero at Sansome,60,434,Customer,31
913298,434,8/31/2015 19:23,2nd at Townsend,61,8/31/2015 19:30,Market at Sansome,77,505,Subscriber,94705
913297,501,8/31/2015 19:21,2nd at Townsend,61,8/31/2015 19:29,Spear at Folsom,49,607,Subscriber,94107
913296,765,8/31/2015 19:20,Howard at 2nd,63,8/31/2015 19:33,Townsend at 7th,65,564,Subscriber,94116
913295,357,8/31/2015 19:19,Market at Sansome,77,8/31/2015 19:25,Powell at Post (Union Square),71,388,Subscriber,94109
913294,213,8/31/2015 19:19,2nd at South Park,64,8/31/2015 19:23,Howard at 2nd,63,193,Subscriber,94107
913293,354,8/31/2015 19:19,Davis at Jackson,42,8/31/2015 19:25,Embarcadero at Sansome,60,502,Subscriber,94133
913292,448,8/31/2015 19:19,Market at Sansome,77,8/31/2015 19:26,Embarcadero at Bryant,54,524,Subscriber,94105
913291,390,8/31/2015 19:18,Davis at Jackson,42,8/31/2015 19:25,Embarcadero at Sansome,60,470,Subscriber,94133
913290,273,8/31/2015 19:18,Spear at Folsom,49,8/31/2015 19:23,2nd at Townsend,61,606,Subscriber,89451
